,Accuracy,Precision,Recall,F1
NB_Count,0.977538185085355,0.9428571428571428,0.8859060402684564,0.9134948096885813
NB_TfIdf,0.9640610961365679,0.990990990990991,0.738255033557047,0.8461538461538461
LR_Count,0.9802336028751123,0.9922480620155039,0.8590604026845637,0.920863309352518
LR_TfIdf,0.9667565139263252,0.9827586206896551,0.7651006711409396,0.8603773584905661
RF_Count,0.977538185085355,1.0,0.8322147651006712,0.9084249084249084
RF_TfIdf,0.977538185085355,1.0,0.8322147651006712,0.9084249084249084
